county,waterbody.type,wbic,name,name.local,named,hydro.unit,basin.maj,basin.min,seg.no,landlock,lake.type,access,area,impound,size.code,dep.max,dep.avg,len.shore,len.shore.m,dist.ash,muskie,nor.pike,wae,lmb,smb,pan,trout,cat,sturg,merc.warn
Ashland,LP,2935600,EUREKA LAKE,NA,TRUE,4010302,3,280,1,FALSE,DG,BR,39,39,S,28,12,1.31,2110,22,P,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,LP,1850200,GATES LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,BR,22,20,S,17,9,0.92,1481,31,P,NA,NA,P,NA,NA,NA,NA,NA,Z
Ashland,LP,2917900,GILBERT LAKE,NA,TRUE,4010302,3,280,1,FALSE,SE,NA,4,4,VS,13,NA,0.35,564,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2406500,GORDON LAKE,NA,TRUE,7050001,2,261,1,NA,DG,BR,142,142,M,28,12,4.53,7295,27,C,A,A,P,NA,C,NA,NA,NA,NA
Ashland,LP,2291800,HOFFMAN LAKE,NA,TRUE,7050002,2,261,1,FALSE,SE,NA,89,89,M,6,NA,2.43,3913,38,NA,P,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2892400,HONEST JOHN LAKE,NA,TRUE,4010302,3,280,1,FALSE,SE,NA,93,93,M,8,NA,5.69,9163,13,NA,C,NA,NA,NA,P,NA,NA,NA,NA
Ashland,LP,2917300,JOHN FRANK LAKE,NA,TRUE,4010302,3,280,1,FALSE,SE,NA,5,5,VS,11,NA,0.4,644,18,P,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,LP,2891700,KAKAGON SLOUGH,NA,TRUE,4010301,3,280,1,FALSE,DG,NW,766,766,VL,26,7,30.25,48712,8,NA,C,C,P,P,P,NA,NA,NA,NA
Ashland,LP,2407400,KEMPF SPRINGS,NA,TRUE,7050001,2,261,1,FALSE,SP,NA,3,3,VS,9,NA,0.63,1014,38,NA,NA,NA,NA,NA,NA,C,NA,NA,NA
Ashland,LP,2405700,KENYON SPRINGS,NA,TRUE,7050001,2,261,1,FALSE,SP,NA,7,7,VS,2,NA,1.48,2383,32,NA,NA,NA,NA,NA,NA,C,NA,NA,NA
Ashland,LP,2936400,KNAB LAKE,NA,TRUE,4010302,3,280,1,FALSE,DG,T,9,9,VS,7,NA,0.44,709,27,NA,NA,NA,P,P,C,NA,NA,NA,NA
Ashland,LP,2935500,LAKE GALILEE,NA,TRUE,4010302,3,280,1,FALSE,DG,BR,213,213,L,23,11,3,4831,22,C,C,C,P,P,A,NA,NA,NA,NA
Ashland,RF,2915800,LAKE THREE,THREE LAKE,TRUE,4010302,3,280,1,NA,DG,BR,72,72,M,13,6,2.24,3607,18,NA,NA,NA,C,NA,A,NA,NA,NA,Y
Ashland,LP,2285700,LINDBERGH LAKE,NA,TRUE,7050002,2,261,100,TRUE,SP,NA,4,4,VS,1,NA,0.33,531,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2285900,LITTLE BUTTERNUT LAKE,NA,TRUE,7050002,2,261,1,NA,DG,NA,10,10,VS,11,NA,0.68,1095,35,P,C,NA,C,NA,P,NA,NA,NA,NA
Ashland,LP,1861100,LITTLE CLAM LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,BR,144,144,M,11,6,3.9,6280,30,P,NA,NA,P,NA,C,NA,NA,NA,NA
Ashland,LP,2767000,LONG LAKE,NA,TRUE,4010302,3,280,1,TRUE,SE,W,19,20,S,5,3,1.02,1643,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2934800,LONG LAKE,LELAND,TRUE,4010302,3,280,1,FALSE,DG,BR,111,111,M,13,7,2.1,3382,22,NA,C,NA,C,NA,P,NA,NA,NA,Z
Ashland,LP,2767300,LOON LAKE,NA,TRUE,4010302,3,280,1,TRUE,SE,BR,36,34,S,23,9,1.31,2110,17,NA,C,NA,C,NA,P,NA,NA,NA,Z
Ashland,LP,2767500,LOST LAKE,NA,TRUE,4010302,3,280,1,TRUE,SE,NA,10,10,VS,19,NA,NA,NA,6,NA,P,NA,P,NA,C,NA,NA,NA,NA
Ashland,LP,1864300,LUEBKE LAKE,NA,TRUE,7050002,2,261,1,TRUE,SE,NA,8,8,VS,9,NA,0.62,998,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,1865200,MCLAREN LAKE,MCLARENS,TRUE,7050001,2,261,1,TRUE,SE,T,66,66,M,12,6,3.03,4879,30,NA,NA,NA,P,NA,A,NA,NA,NA,NA
Ashland,RF,2934000,MCCARTHY LAKE,NA,TRUE,4010302,3,280,1,NA,DG,T,42,42,S,2,NA,1.08,1739,24,NA,NA,NA,NA,NA,P,NA,NA,NA,NA
Ashland,LP,1865700,MCKASKEL LAKE,NA,TRUE,7050002,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2935300,MEDER LAKE,NA,TRUE,4010302,3,280,1,FALSE,DG,BR,135,135,M,10,7,2.03,3269,22,NA,C,C,P,NA,P,NA,NA,NA,NA
Ashland,LP,1866000,MEYER LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,NA,14,14,VS,27,NA,0.66,1063,35,NA,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,LP,2916900,MINERAL LAKE,NA,TRUE,4010302,3,280,1,FALSE,DG,BR,225,225,L,29,12,5.28,8502,18,C,NA,P,P,NA,C,NA,NA,NA,Y
Ashland,LP,2769000,MOONSHINE LAKE,NA,TRUE,4010302,3,280,1,TRUE,NA,NA,NA,0,VS,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2918200,MOQUAH LAKE,NA,TRUE,4010302,3,280,1,FALSE,NA,NW,50,50,M,8,5,5.4,8696,18,C,NA,NA,C,NA,A,NA,NA,NA,NA
Ashland,LP,2430500,MUD LAKE,FAGG,GORMELY,TRUE,7050001,2,261,1,FALSE,SE,NA,10,10,VS,14,NA,0.79,1272,24,NA,NA,NA,NA,NA,P,NA,NA,NA,NA
Ashland,LP,2928900,MURPHY LAKE,NA,TRUE,4010302,3,280,1,FALSE,NA,NA,NA,10,VS,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2405900,MUSKELLUNGE LAKE,NA,TRUE,7050001,2,261,1,FALSE,DG,W,22,21,S,8,6,0.88,1417,31,P,NA,NA,P,NA,P,NA,NA,NA,NA
